"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"0610007P14Rik",2358.21451757733,-0.0875749224591991,0.0591330872978617,-1.4809800479057,0.13861189031886,0.320890679189925,FALSE
"0610009B22Rik",619.367611702876,0.132486929684181,0.0501726727713599,2.64061933251856,0.008275464338286,0.0536323312187666,FALSE
"0610009E02Rik",48.3092727309355,-0.0626261536010445,0.153311968085522,-0.408488354712853,0.682915178366156,0.823517921166475,FALSE
"0610009L18Rik",52.132117736452,-0.0668976238622733,0.124758396878972,-0.53621740528752,0.59180830569255,0.763520461494294,FALSE
"0610009O20Rik",2307.53744370035,0.0671077194994267,0.057499336647787,1.16710423827141,0.243168276491283,0.454499948062795,FALSE
"0610010F05Rik",2413.04112058197,0.119518635646712,0.0703532855518645,1.69883516752892,0.089350245384521,0.241559575139815,FALSE
"0610010K14Rik",678.820097675143,-0.0349275891800262,0.0599627022242785,-0.582488578473106,0.560237632580012,0.740438342856918,FALSE
"0610011F06Rik",722.910333718953,-0.0201235747219318,0.0716281866716637,-0.280944913685673,0.778752651219156,0.883959206546658,FALSE
"0610012G03Rik",904.146663151969,-0.0705398120709732,0.0556176210098495,-1.26829970052982,0.204690943979554,0.408820380832767,FALSE
"0610030E20Rik",1531.74818335311,-0.105694877605479,0.0775007895903504,-1.36379097766817,0.172633360698943,0.36911404128501,FALSE
"0610037L13Rik",893.477572048921,-0.163999698824462,0.0703540396744733,-2.331063000551,0.019750037910651,0.093081786302801,FALSE
"0610040B10Rik",39.4772773345155,0.400155373461967,0.175233405725939,2.28355644749496,0.022397611848139,0.100399429856801,FALSE
"0610040F04Rik",90.9956369124874,0.512129873159033,0.138537313190043,3.69669269142317,0.000218426482557286,0.00515562757457533,FALSE
"0610040J01Rik",223.890015379225,-0.598052156003806,0.118391366602501,-5.05148452261529,4.38389464416006e-07,8.32471622804963e-05,FALSE
"0610043K17Rik",17.5603152088432,0.00567142712992792,0.209135006562779,0.0271184973914228,0.978365221400921,0.990871122530852,FALSE
"1110001J03Rik",499.988851101075,-0.0303961309686712,0.0810322310100415,-0.375111614104572,0.707577459845208,0.839804477475006,FALSE
"1110002J07Rik",26.5482380558886,-0.130964699199449,0.183236999966691,-0.714728462173336,0.474776846949819,0.675218304559229,FALSE
"1110002L01Rik",510.17575012921,-0.19376595445139,0.0811765203904968,-2.38697043824108,0.0169878572143991,0.0848720340640206,FALSE
"1110004E09Rik",741.936654926731,0.0325737905744746,0.0564371933542724,0.577168860435699,0.563825390577415,0.743053094098473,FALSE
"1110004F10Rik",3415.77452427084,0.167996100512755,0.0566928455987627,2.96326809385664,0.00304391329289485,0.0280532028405548,FALSE
"1110006O24Rik",18.2956772491503,0.336344228471351,0.211464467439078,1.59054725621102,0.111711502543816,0.280126391852949,FALSE
"1110007C09Rik",299.202078792435,0.053400069957241,0.0773256080943243,0.690587132429684,0.489825036104889,0.687811581742122,FALSE
"1110008F13Rik",1786.37821778218,-0.0731452474576199,0.0692486452572447,-1.05626972464082,0.290845003680104,0.50779236023734,FALSE
"1110008L16Rik",161.575263344544,0.350069705750347,0.0869250850548617,4.0272575578086,5.64312064908586e-05,0.00217564712601212,FALSE
"1110008P14Rik",810.950106211955,-0.113586723245375,0.0764517626869485,-1.48573059996648,0.137350393329989,0.318818302554426,FALSE
"1110012L19Rik",417.813556979093,-0.0578422603869413,0.0625342439506154,-0.924969372502856,0.354981839109539,0.573215577441233,FALSE
"1110015O18Rik",25.9323110915559,-0.0823880257907672,0.267748004948994,-0.307707337750144,0.758305035755469,0.871605981718607,FALSE
"1110017D15Rik",52.4746624962961,-0.0486222394912112,0.152983668577657,-0.317826340179113,0.750616669308728,0.867312064335849,FALSE
"1110018N20Rik",114.729630416435,0.360672536667479,0.106439737501581,3.38851396229834,0.0007027245107266,0.0109037499902086,FALSE
"1110019D14Rik",92.5603888330272,-0.383740197216122,0.132891191009194,-2.88762704511824,0.00388159815602009,0.0328322846708938,FALSE
"1110020A21Rik",73.5798602388543,0.138008888429656,0.097962318946721,1.40879564625982,0.158895602905149,0.350284588679921,FALSE
"1110032A03Rik",1013.67779239467,0.0692935279312939,0.0507557255308554,1.36523568930502,0.172178984528129,0.368746258300428,FALSE
"1110032F04Rik",24.9780451940202,-0.115442175412001,0.304731791593584,-0.378832070025581,0.704812570849627,0.838463859311731,FALSE
"1110034G24Rik",397.786481579376,-0.242160270661377,0.0841229694749617,-2.87864625051608,0.00399386048994776,0.0335000374039386,FALSE
"1110037F02Rik",2600.06417345415,-0.0205027119299734,0.0496214096208913,-0.413182779099074,0.679472704168739,0.821145192154892,FALSE
"1110038B12Rik",249.476092385634,0.270347507505212,0.0795820234443974,3.39709265741526,0.000681059017403615,0.0107390589323978,FALSE
"1110038F14Rik",425.674865791526,-0.0211361544300873,0.0504959748481528,-0.418571074103355,0.675529633225432,0.818593739184713,FALSE
"1110046J04Rik",51.3925538043532,0.0977014795307032,0.146054487765842,0.668938565498517,0.503534667910936,0.699179290218883,FALSE
"1110051M20Rik",1912.43290320733,-0.0439754979483494,0.0513377212607163,-0.856592323703303,0.391670229559546,0.607206802981361,FALSE
"1110054M08Rik",204.962554883604,0.0622160709885052,0.0831443190382894,0.748290102175876,0.454285193351857,0.659025113813368,FALSE
"1110057K04Rik",1299.42282042367,-0.288716580409483,0.0765357556412939,-3.77230979155199,0.000161743259663861,0.00423485464099156,FALSE
"1110058L19Rik",375.281348146771,0.0422260816080764,0.0741339524518219,0.569591667671007,0.568954681158784,0.746952039296463,FALSE
